;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;0;8602;61.13;76.5;986.5;697.2;1318;1333;476.4;677;232.1;507;251.5;391.5;255.7;206.6;920.7;287.8
2;-35.36;0;38.81;74.15;524.1;787.6;270.6;526.1;182.6;448.8;37.85;333.5;214.5;240.9;163.9;61.11;749.3;2811.5
3;-11.12;3.446;0;167;636.1;637.4;903.8;1329;25.77;347.3;5.994;287.1;32.14;161.7;122.8;9049;648.2;-4.449
4;-69.7;-113.6;-146.8;0;803.2;603.3;5695;4.9;-52.1;586.8;5688;197.8;213.1;19.02;-49.29;23.5;663.2;52.8
5;156.4;457;89.6;25.82;0;-137.1;353.5;-259.7;84;-203.6;101.1;267.8;28.06;8.642;42.7;-3210;-52.39;170
6;16.51;-12.52;-50;-44.5;249.1;0;-181;-101.7;23.39;306.4;-10.72;179.7;-128.6;359.3;-20.98;53.9;489.7;580.5
7;300;496.1;362.3;377.6;-229.1;289.6;0;324.5;-195.4;-116;72.87;NA;540.5;48.89;168;304;243.2;459
8;275.8;217.5;25.34;244.2;-451.6;-265.2;-601.8;0;-356.1;-271.1;-449.4;NA;-162.9;NA;NA;NA;119.9;-303.3
9;26.76;42.92;140.1;365.8;164.5;108.7;472.5;-133.1;0;-37.36;-213.7;-190.4;-103.6;NA;-174.2;-169;6201;7.341
10;505.7;56.3;23.39;106;529;-340.2;480.8;-155.6;128;0;-110.3;766;304.1;NA;NA;NA;NA;NA
11;114.8;132.1;85.84;-170;245.4;249.6;200.8;-36.72;372.2;185.1;0;-241.8;-235.7;NA;-73.4;-196.7;473.5;NA
12;329.3;110.4;18.12;428;139.4;227.8;NA;NA;385.4;-236.3;1167;0;-234;NA;NA;NA;NA;-233.4
13;83.36;26.51;52.13;65.69;237.7;238.4;-314.7;-178.5;191.1;-7.838;461.3;457.3;0;-78.36;251.5;5422;NA;213.2
14;-30.48;1.163;-44.85;296.4;-242.8;-481.7;-330.4;NA;NA;NA;NA;NA;222.1;0;-107.2;-41.11;-200.7;NA
15;65.33;-28.7;-22.31;223;-150;-370.3;-448.2;NA;394.6;NA;136;NA;-36.08;127.4;0;-189.2;NA;NA
16;-83.98;-25.38;-223.9;109.9;28.6;406.8;-598.8;NA;225.3;NA;2689;NA;-194.1;38.89;865.9;0;NA;NA
17;1139;2000;247.5;762.8;-17.4;-118.1;-341.6;-253.1;-450.3;NA;-294.8;NA;NA;-15.07;NA;NA;0;89.7
18;-101.6;-47.63;31.87;49.8;-132.3;-378.2;-332.9;-341.6;29.1;NA;NA;554.4;-156.1;NA;NA;NA;117.4;0
19;24.82;-40.62;-22.97;-138.4;185.4;162.6;242.8;NA;-287.5;NA;-266.6;99.37;38.81;-157.3;-108.5;NA;777.4;134.3
20;315.3;1264;62.32;89.86;-151;339.8;-66.17;-11;-297.8;-165.5;-256.3;193.9;-338.5;NA;NA;NA;493.8;-313.5
21;93.46;40.25;4.68;122.9;562.2;529;698.2;NA;286.3;-47.51;35.38;NA;225.4;131.2;NA;NA;429.7;NA
22;3401;-23.5;121.3;140.8;527.6;669.9;708.7;NA;82.86;190.6;-133;NA;-197.7;NA;NA;-141.4;140.8;387.3
23;36.7;51.06;288.5;69.9;742.1;649.1;826.8;NA;552.1;242.8;176.5;235.6;-20.93;NA;NA;-293.7;NA;18.98
24;-78.45;160.9;-4.7;134.7;856.3;709.6;1201;10000;372;NA;129.5;351.9;113.9;261.1;91.13;316.9;898.2;368.5
25;106.8;70.32;-97.27;402.5;325.7;612.8;-274.5;622.3;518.4;NA;-171.1;383.3;-25.15;108.5;102.2;2951;334.9;NA
26;-32.69;-1.996;10.38;-97.05;261.6;252.6;417.9;NA;-142.6;NA;129.3;NA;-94.49;NA;NA;NA;NA;NA
27;5541;NA;1824;-127.8;561.6;NA;360.7;NA;-101.5;NA;NA;NA;NA;NA;NA;NA;134.9;2475
28;-52.65;16.62;21.5;40.68;609.8;914.2;1081;1421;303.7;NA;2418;NA;112.4;NA;NA;NA;NA;NA
29;-7.381;NA;28.41;19.56;461.6;448.6;NA;NA;160.6;NA;NA;201.5;63.71;106.7;NA;NA;NA;NA
30;-25.31;82.64;157.3;128.8;521.6;NA;23.48;NA;317.5;NA;-146.3;NA;-87.31;NA;NA;NA;NA;NA
