p;x1;y1
819.496;0;0
835.044;0.01;0.0281989
84.881;0.02;0.0529413
860.991;0.03;0.07478
871.758;0.04;0.0941573
889.653;0.06;0.126895
903.528;0.08;0.153323
914.201;0.1;0.174941
930.838;0.15;0.214307
938.269;0.2;0.240127
940.548;0.25;0.257851
939.967;0.3;0.270594
937.753;0.35;0.280297
934.451;0.4;0.28827
930.127;0.45;0.295483
924.477;0.5;0.302737
916.859;0.55;0.31078
906.274;0.6;0.320417
891.314;0.65;0.332638
87.005;0.7;0.348805
839.877;0.75;0.370989
797.279;0.8;0.402656
737.496;0.85;0.450233
654.056;0.9;0.527318
612.169;0.92;0.572742
564.414;0.94;0.631978
509.991;0.96;0.712104
479.999;0.97;0.763655
447.988;0.98;0.826019
413.825;0.99;0.902917
377.365;1;1
